,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
5303,spotify:track:506O2O13slCAUEo6w8aqr8,6,I'll Keep You Safe,2017-10-06,74,False,0.755,0.0625,7,-24.694,1,0.0555,0.945,0.816,0.178,0.462,114.984,audio_features,506O2O13slCAUEo6w8aqr8,https://api.spotify.com/v1/tracks/506O2O13slCAUEo6w8aqr8,https://api.spotify.com/v1/audio-analysis/506O2O13slCAUEo6w8aqr8,185876,4
5304,spotify:track:75JFxkI2RXiU7L9VXzMkle,22,The Scientist,2002-08-08,84,False,0.56,0.442,5,-7.224,1,0.0243,0.727,1.71e-05,0.11,0.212,146.448,audio_features,75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4
5305,spotify:track:028JxheELfIvvY4zBXuMjw,9,Heartless (feat. Mustard),2019-09-20,75,True,0.776,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.038,audio_features,028JxheELfIvvY4zBXuMjw,https://api.spotify.com/v1/tracks/028JxheELfIvvY4zBXuMjw,https://api.spotify.com/v1/audio-analysis/028JxheELfIvvY4zBXuMjw,201627,4
5306,spotify:track:0s26En1JoJhVj32vizElpA,7,Feelings,2020-03-06,80,False,0.694,0.466,9,-6.758,1,0.0384,0.0934,0.0,0.098,0.246,103.018,audio_features,0s26En1JoJhVj32vizElpA,https://api.spotify.com/v1/tracks/0s26En1JoJhVj32vizElpA,https://api.spotify.com/v1/audio-analysis/0s26En1JoJhVj32vizElpA,189613,4
5307,spotify:track:1LdS1ULS9e18oW3M2C1MUj,16,"always, i'll care",2020-02-07,79,False,0.784,0.278,6,-10.745,1,0.041,0.918,0.000196,0.112,0.741,105.034,audio_features,1LdS1ULS9e18oW3M2C1MUj,https://api.spotify.com/v1/tracks/1LdS1ULS9e18oW3M2C1MUj,https://api.spotify.com/v1/audio-analysis/1LdS1ULS9e18oW3M2C1MUj,146147,4
5309,spotify:track:58wyJLv6yH1La9NIZPl3ne,17,Can We Kiss Forever?,2018-08-31,87,False,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,audio_features,58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/audio-analysis/58wyJLv6yH1La9NIZPl3ne,187932,4
5310,spotify:track:1Knctxx9vGZxpZfF66BIEa,30,Legends,2018-06-22,84,True,0.594,0.798,4,-5.244,1,0.0844,0.115,0.0,0.143,0.381,142.049,audio_features,1Knctxx9vGZxpZfF66BIEa,https://api.spotify.com/v1/tracks/1Knctxx9vGZxpZfF66BIEa,https://api.spotify.com/v1/audio-analysis/1Knctxx9vGZxpZfF66BIEa,191840,4
5312,spotify:track:2O9KgUsmuon6Gycdmagc6t,8,Princess Bubblegum,2018-07-30,71,False,0.589,0.484,7,-11.613,1,0.0742,0.42,0.0385,0.109,0.0726,139.998,audio_features,2O9KgUsmuon6Gycdmagc6t,https://api.spotify.com/v1/tracks/2O9KgUsmuon6Gycdmagc6t,https://api.spotify.com/v1/audio-analysis/2O9KgUsmuon6Gycdmagc6t,95709,4
5317,spotify:track:0S0vWvyZ6Rc79TXkWxT9QA,14,Save That Shit,2017-08-15,82,True,0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,105.997,audio_features,0S0vWvyZ6Rc79TXkWxT9QA,https://api.spotify.com/v1/tracks/0S0vWvyZ6Rc79TXkWxT9QA,https://api.spotify.com/v1/audio-analysis/0S0vWvyZ6Rc79TXkWxT9QA,231547,4
5320,spotify:track:4S2uhQE8L9V6p7rj7SiauJ,42,Suicidal (Remix) [feat. Juice WRLD],2020-03-13,88,True,0.655,0.441,9,-5.245,0,0.0629,0.474,0.0,0.099,0.273,139.957,audio_features,4S2uhQE8L9V6p7rj7SiauJ,https://api.spotify.com/v1/tracks/4S2uhQE8L9V6p7rj7SiauJ,https://api.spotify.com/v1/audio-analysis/4S2uhQE8L9V6p7rj7SiauJ,225857,4
5321,spotify:track:3oDkdAySo1VQQG0ptV7uwa,9,Lean Wit Me,2018-12-10,82,True,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,audio_features,3oDkdAySo1VQQG0ptV7uwa,https://api.spotify.com/v1/tracks/3oDkdAySo1VQQG0ptV7uwa,https://api.spotify.com/v1/audio-analysis/3oDkdAySo1VQQG0ptV7uwa,175755,4
5322,spotify:track:03eJ2DclFWXYU8GWgANdmZ,9,bad vibes forever,2019-12-06,73,True,0.8,0.526,8,-5.153,1,0.0716,0.334,0.00174,0.0571,0.746,129.874,audio_features,03eJ2DclFWXYU8GWgANdmZ,https://api.spotify.com/v1/tracks/03eJ2DclFWXYU8GWgANdmZ,https://api.spotify.com/v1/audio-analysis/03eJ2DclFWXYU8GWgANdmZ,150475,4
5326,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,5,Helena,2004-06-08,73,False,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,audio_features,5dTHtzHFPyi8TlTtzoz1J9,https://api.spotify.com/v1/tracks/5dTHtzHFPyi8TlTtzoz1J9,https://api.spotify.com/v1/audio-analysis/5dTHtzHFPyi8TlTtzoz1J9,204733,4
