,name,total,uri
67,Indie Quarantine,40,spotify:playlist:3RZ7VJHXa4aeJAMG9geUNp
68,Quarantine Groove,18,spotify:playlist:7Av35X0Jo5XxYo8oAyAt9R
69,CORONAVIRUS QUARANTINE PARTY COVID-19 2020,72,spotify:playlist:3r9u5bXzAYEvc0xBKkSnAx
70,Upbeat Songs for Quarantined Kids,31,spotify:playlist:29zvXjhLjTlGeOK3n8KqV3
71,Quarantine With Me,122,spotify:playlist:4cnc0ltJNEGfXwUGqSzujW
72, COVID Quarantine Dance Party,67,spotify:playlist:6YtMiqSUG7ec8D0NiOjVyB
73,SuperM LUCAS Quarantine Playlist,5,spotify:playlist:2n7zJLwCk59Qo08Ru41Mej
74,SuperM BAEKHYUN Quarantine Playlist,5,spotify:playlist:00lzojTgp2f9NE64ykwihu
75,quarantine lifeline,16,spotify:playlist:476Hp8I2hmjZMBPuJ2yQBN
76,Quarantine and Chill,36,spotify:playlist:1IuZsUA2S0RMpHuf1OC9zY
77,COVID-19 Quarantine :),68,spotify:playlist:5JxU0L3J5E4Au3K1C3hlGK
78,Sofia Coppola: Quarantine,21,spotify:playlist:40IMuCswqFR4Li30ba8DkD
79, Corona Quarantine Covid-19 Playlist ,176,spotify:playlist:3hPN88cnjjeVaQllAo7wXR
80,Queering the Quarantine,65,spotify:playlist:7MpEnnOly6QOLIkLb8wrXG
81,Quarantine Streams AMN. 1,6,spotify:playlist:487JvSlK9msRIIXMHLrsvt
82,THE QUARANTINE TWERK PLAYLIST,79,spotify:playlist:6kJB19EoMMeot3mmME7fKm
83,post quarantine ,27,spotify:playlist:0btifGsDNRdtCM62CNSIzJ
84,Will Smith - Chill Beats To Quarantine To,41,spotify:playlist:3tpDZpAHp9GWyatuLrBBma
85,MNE Quarantine Playlist,38,spotify:playlist:5dQpHOhwwleUgusZZ4vQ9t
86,Quarantine Tunes,5,spotify:playlist:0pIPZM0L2IH4vSqd14Qteo
87,queer quarantine,57,spotify:playlist:06ExZb1zKs4GSXvkSQMgb2
88,Sheepdog Response Quarantine Workout,29,spotify:playlist:33cOo0IrJ5qahwAmV8keTc
89,QUARANTINE WORKOUT JAMS,134,spotify:playlist:08VFHJvoCshfFtNcpf7SZo
90,Quarantine ,46,spotify:playlist:2Rish6jlvwW6LbOu4EjLJH
91,Triple M top 1000 quarantine countdown,839,spotify:playlist:3A10cBIr1EhCfRlKXpTayS
92,quarantine litty,37,spotify:playlist:6x3D6dTTkab8eAtqVjoo7f
93,lofi to quarantine to,44,spotify:playlist:1X1qRNjsDhPC8vRsU3ry8B
94,quarantine bops only,51,spotify:playlist:3dqRSAAM0vY8MXC0dNFF8I
95,Corona Quarantine Party (COVID-19),107,spotify:playlist:7AyZ8BXveSUp3EfSFSuGrS
96,Quarantine Playlist (Fan Edition) 💖,116,spotify:playlist:23Sr6HfudaoP264Oy8ZeMR
97,Feeling it. Quarantine 2020.,94,spotify:playlist:3fEqEhxmJjYxKR9ZZFHC53
98,BRIDGETTE - QUALITY QUARANTINE TIME,163,spotify:playlist:63AL7DIpchW2DC1QijSJ6J
99,"Bleib zuhause🎶
🤧🤭Quarantine and Chill🤧🤭",13,spotify:playlist:3f3SelhNdzrIAFQ0PLbYrq
100,Quarantunes,100,spotify:playlist:0lEBSx12IeyOySeclHj3ZU
101,Quarantine Jams,39,spotify:playlist:5OsgQFdEgD7ORJd3GoeQnw
102,Quarantine n Chill,60,spotify:playlist:33LtBDWETQHZSC98dXHrVh
103,quarantine n chill,21,spotify:playlist:64UsLrm1ckARjp0ZyTcp17
104,QUARANTINE JAMS,23,spotify:playlist:6X6rpKVMdDjJbI808pgDtI
105,quarantined queens!,12,spotify:playlist:3fRjMlYsA6J73NBQGQdPmz
106,Veettu Vilayattu,50,spotify:playlist:37i9dQZF1DXcH1zkVmOC0e
107,DJ DNice - Club Quarantine Home School Instagram Party,201,spotify:playlist:03yxAMtqPOK5MTRDOxGIGX
108,QUARANTINE💘,24,spotify:playlist:1uw4moKnPgSybEb4Wkmoob
109,Quarantine Jams,60,spotify:playlist:0tiHX2f6CBF22u0RWl07dn
110,My time in quarantine,33,spotify:playlist:460DWAaOjjyzqJlVdLLNTm
111,Christian & Quarantined,73,spotify:playlist:4KFqiC4qHNtb7sBPSqdwuO
112,quarantine tingz,70,spotify:playlist:14CR85qv2k3yYsP4LxONaY
113,Quarantine running playlist,75,spotify:playlist:2S4a3byKn63Mv40Bk9b28m
114,Rita Wilson's Quarantunes,73,spotify:playlist:6vujSBdZOmLlDZc627sW1A
115,Quarantine🛋,98,spotify:playlist:4KFPax6h0pGUDMAF5UE3fU
116,quarantine-age-dream,56,spotify:playlist:1pxJ8zXY6MHmUu1PWXFMjJ
117,Quarantine and Chill,90,spotify:playlist:6mGZqLAUce7VxRqIwIBpGm
118,Gisa Workout - Quarantine Feelings,42,spotify:playlist:40jeBvQRUx6nYhA7nnmJux
119,Quarantine Playlist🤪🇲🇽,45,spotify:playlist:0lZvyiWBsVpNHmMYs3edO1
120,calming quarantine,32,spotify:playlist:4CCKEXYHp9U7m425vklJ5u
121,4:20 quarantine ,162,spotify:playlist:6AWhVzyOoIkGZmHnAZioJt
122,Quarantine: A Playlist,215,spotify:playlist:1vjSlwcC7PSjQ3GMBcZEBu
123,QUARANTINE FEELINGS,69,spotify:playlist:3pZYEZZQc3gmMepv9InwUI
124,🤐quarantine with Wayne Dreadski,84,spotify:playlist:1GdNMmZjpSn3xSNHV5sebB
125,Songs in the Key of Quarantine,73,spotify:playlist:7cNFH6tdAJ9k3oEjPE3wJG
126,Quarantine Viral Hits,41,spotify:playlist:2aCo2ZzWsOWeDyunyDdZmU
