,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
692,spotify:track:1xRUR651GIJoKbu0dqm0uW,4,Seasons,2018-11-16,49,False,0.474,0.422,10,-10.476,1,0.0297,0.198,0.0914,0.145,0.2,152.112,audio_features,1xRUR651GIJoKbu0dqm0uW,https://api.spotify.com/v1/tracks/1xRUR651GIJoKbu0dqm0uW,https://api.spotify.com/v1/audio-analysis/1xRUR651GIJoKbu0dqm0uW,345627,4
966,spotify:track:3zwmW1gM4E8FlHXV5nE16u,4,Be Yourself,2005-01-01,69,False,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,audio_features,3zwmW1gM4E8FlHXV5nE16u,https://api.spotify.com/v1/tracks/3zwmW1gM4E8FlHXV5nE16u,https://api.spotify.com/v1/audio-analysis/3zwmW1gM4E8FlHXV5nE16u,278973,4
1111,spotify:track:0EYOdF5FCkgOJJla8DI2Md,3,B.Y.O.B.,2005-05-17,75,True,0.556,0.981,1,-2.688,0,0.128,0.00662,0.0,0.218,0.716,101.423,audio_features,0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md,255467,4
1396,spotify:track:7MjRtWS2teufvOiMM0BARZ,4,Nearly Forgot My Broken Heart,2015-09-18,58,False,0.593,0.781,0,-5.472,1,0.0285,0.0944,2.23e-06,0.173,0.657,119.522,audio_features,7MjRtWS2teufvOiMM0BARZ,https://api.spotify.com/v1/tracks/7MjRtWS2teufvOiMM0BARZ,https://api.spotify.com/v1/audio-analysis/7MjRtWS2teufvOiMM0BARZ,234427,4
1397,spotify:track:0o995gJCGebaza0LWybToU,3,Doesn't Remind Me,2005-01-01,64,False,0.457,0.768,9,-3.592,1,0.0378,0.169,0.0,0.103,0.232,99.739,audio_features,0o995gJCGebaza0LWybToU,https://api.spotify.com/v1/tracks/0o995gJCGebaza0LWybToU,https://api.spotify.com/v1/audio-analysis/0o995gJCGebaza0LWybToU,255000,4
1400,spotify:track:4VwPsMcRt1HPVKIdcwY9Uj,4,Outshined,1991-10-08,64,False,0.485,0.841,2,-6.068,0,0.0307,0.000173,0.00686,0.125,0.551,94.867,audio_features,4VwPsMcRt1HPVKIdcwY9Uj,https://api.spotify.com/v1/tracks/4VwPsMcRt1HPVKIdcwY9Uj,https://api.spotify.com/v1/audio-analysis/4VwPsMcRt1HPVKIdcwY9Uj,311000,4
1409,spotify:track:1yZgBTaMIMNbGFWnzi2QNl,3,Searching With My Good Eye Closed,1991-10-08,40,False,0.307,0.777,9,-7.796,1,0.0577,1.77e-05,0.514,0.25,0.0612,125.602,audio_features,1yZgBTaMIMNbGFWnzi2QNl,https://api.spotify.com/v1/tracks/1yZgBTaMIMNbGFWnzi2QNl,https://api.spotify.com/v1/audio-analysis/1yZgBTaMIMNbGFWnzi2QNl,391653,4
1410,spotify:track:4kyvXGAGzJQaUfYdEqAUao,3,River of Deceit,2015-08-28,26,False,0.368,0.55,0,-9.89,1,0.0313,0.463,0.243,0.985,0.187,92.584,audio_features,4kyvXGAGzJQaUfYdEqAUao,https://api.spotify.com/v1/tracks/4kyvXGAGzJQaUfYdEqAUao,https://api.spotify.com/v1/audio-analysis/4kyvXGAGzJQaUfYdEqAUao,308680,4
1412,spotify:track:36QwvXHlo8kqob3AmH1Z3I,3,"Thank You - Recorded Live At Esplanade Arts & Heritage Centre, Medicine Hat, Alberta, Canada on April 27, 2011",2011-01-01,52,False,0.402,0.317,7,-5.826,1,0.0268,0.766,0.0,0.715,0.103,77.654,audio_features,36QwvXHlo8kqob3AmH1Z3I,https://api.spotify.com/v1/tracks/36QwvXHlo8kqob3AmH1Z3I,https://api.spotify.com/v1/audio-analysis/36QwvXHlo8kqob3AmH1Z3I,288187,4
1435,spotify:track:22wnEMAQaNrbot1dwmeucH,3,Revelations,2006-08-29,52,False,0.534,0.882,7,-4.161,1,0.0482,0.00785,0.0,0.107,0.368,113.045,audio_features,22wnEMAQaNrbot1dwmeucH,https://api.spotify.com/v1/tracks/22wnEMAQaNrbot1dwmeucH,https://api.spotify.com/v1/audio-analysis/22wnEMAQaNrbot1dwmeucH,252107,4
1436,spotify:track:3zFG5dyH5rJfkZ25fgR173,3,Sound Of A Gun,2006-08-29,54,False,0.514,0.867,9,-4.717,1,0.0332,0.00904,0.0508,0.232,0.596,96.135,audio_features,3zFG5dyH5rJfkZ25fgR173,https://api.spotify.com/v1/tracks/3zFG5dyH5rJfkZ25fgR173,https://api.spotify.com/v1/audio-analysis/3zFG5dyH5rJfkZ25fgR173,260280,4
1437,spotify:track:0zY7SkbIByXGKak663jHuI,3,Original Fire,2006-08-29,48,False,0.638,0.947,9,-2.811,1,0.054,0.0103,0.0727,0.386,0.7,124.162,audio_features,0zY7SkbIByXGKak663jHuI,https://api.spotify.com/v1/tracks/0zY7SkbIByXGKak663jHuI,https://api.spotify.com/v1/audio-analysis/0zY7SkbIByXGKak663jHuI,218507,4
1465,spotify:track:7FjITxlcgw9rsUiFgkxCeL,3,Mailman,1994-03-09,46,False,0.443,0.682,5,-5.99,1,0.0313,0.000425,7.47e-05,0.0833,0.429,96.211,audio_features,7FjITxlcgw9rsUiFgkxCeL,https://api.spotify.com/v1/tracks/7FjITxlcgw9rsUiFgkxCeL,https://api.spotify.com/v1/audio-analysis/7FjITxlcgw9rsUiFgkxCeL,266360,4
1468,spotify:track:2amzrvbxYiq8AxGntIiw5V,3,Fall to Pieces,2004,63,False,0.464,0.887,6,-4.65,1,0.0499,0.000429,0.333,0.126,0.23,132.759,audio_features,2amzrvbxYiq8AxGntIiw5V,https://api.spotify.com/v1/tracks/2amzrvbxYiq8AxGntIiw5V,https://api.spotify.com/v1/audio-analysis/2amzrvbxYiq8AxGntIiw5V,271240,4
1501,spotify:track:1szW8tOoDoLECq1ohwMuZr,3,Right Turn,1992-02-04,47,False,0.5,0.318,8,-11.016,1,0.0239,0.402,0.0,0.117,0.226,96.451,audio_features,1szW8tOoDoLECq1ohwMuZr,https://api.spotify.com/v1/tracks/1szW8tOoDoLECq1ohwMuZr,https://api.spotify.com/v1/audio-analysis/1szW8tOoDoLECq1ohwMuZr,194040,4
1548,spotify:track:4Dz0U7qR4GxIZAOGGEPuTf,3,What You Are,2002-11-17,54,False,0.501,0.687,4,-4.399,1,0.0289,0.0063,0.0,0.138,0.486,89.002,audio_features,4Dz0U7qR4GxIZAOGGEPuTf,https://api.spotify.com/v1/tracks/4Dz0U7qR4GxIZAOGGEPuTf,https://api.spotify.com/v1/audio-analysis/4Dz0U7qR4GxIZAOGGEPuTf,249400,4
1559,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,3,Black Hole Sun,1994-03-09,76,False,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,audio_features,2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD,318587,4
1599,spotify:track:44OxoDksTnkbNXW9OxiHgg,4,Flower,2017-03-10,40,False,0.469,0.792,7,-5.358,1,0.0554,0.00248,0.0237,0.251,0.351,100.802,audio_features,44OxoDksTnkbNXW9OxiHgg,https://api.spotify.com/v1/tracks/44OxoDksTnkbNXW9OxiHgg,https://api.spotify.com/v1/audio-analysis/44OxoDksTnkbNXW9OxiHgg,206223,4
1645,spotify:track:0tUELgOuOJ3KCsYMDDsNvD,4,Nothing Compares 2 U - Live At SiriusXM/2015,2018-11-16,61,False,0.434,0.327,0,-10.72,1,0.0312,0.609,1.78e-06,0.686,0.295,119.506,audio_features,0tUELgOuOJ3KCsYMDDsNvD,https://api.spotify.com/v1/tracks/0tUELgOuOJ3KCsYMDDsNvD,https://api.spotify.com/v1/audio-analysis/0tUELgOuOJ3KCsYMDDsNvD,303907,4
1656,spotify:track:4y15UP1z4IMjzyw1FZV3Km,4,"Doesn't Remind Me - Recorded Live At Fitzgerald Theatre, St. Paul, MN on April 24, 2011",2011-01-01,39,False,0.383,0.531,4,-3.118,1,0.0313,0.478,0.0,0.689,0.322,129.218,audio_features,4y15UP1z4IMjzyw1FZV3Km,https://api.spotify.com/v1/tracks/4y15UP1z4IMjzyw1FZV3Km,https://api.spotify.com/v1/audio-analysis/4y15UP1z4IMjzyw1FZV3Km,248253,4
1690,spotify:track:65wiJjPTfdsaUNg9DAGGll,3,"Can't Change Me - Recorded Live At Queen Elizabeth Theatre, Toronto, ON on April 20, 2011",2011-01-01,36,False,0.403,0.43,2,-4.203,0,0.0299,0.487,0.0,0.746,0.342,102.081,audio_features,65wiJjPTfdsaUNg9DAGGll,https://api.spotify.com/v1/tracks/65wiJjPTfdsaUNg9DAGGll,https://api.spotify.com/v1/audio-analysis/65wiJjPTfdsaUNg9DAGGll,220173,4
1799,spotify:track:59WN2psjkt1tyaxjspN8fp,3,Killing In The Name,1992,78,True,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,audio_features,59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4
