,acousticness,analysis_url,count,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,time_signature,track_href,type,uri,valence
8607,0.0797,https://api.spotify.com/v1/audio-analysis/507tQXutCPYNFkpOq8tmKF,12,0.752,208812,0.706,False,507tQXutCPYNFkpOq8tmKF,0.000752,5,0.129,-6.274,1,Don't Worry Bout Me,68,2019-03-28,0.0636,125.041,4,https://api.spotify.com/v1/tracks/507tQXutCPYNFkpOq8tmKF,audio_features,spotify:track:507tQXutCPYNFkpOq8tmKF,0.33
8611,0.95,https://api.spotify.com/v1/audio-analysis/1zuKjpp4t7BS8JPKi6mkQr,6,0.424,171653,0.157,False,1zuKjpp4t7BS8JPKi6mkQr,0.0593,9,0.101,-18.141,1,Angels,66,2012-09-10,0.0428,91.537,4,https://api.spotify.com/v1/tracks/1zuKjpp4t7BS8JPKi6mkQr,audio_features,spotify:track:1zuKjpp4t7BS8JPKi6mkQr,0.342
8621,0.147,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,9,0.755,216632,0.599,True,10Igtw8bSDyyFs7KIsKngZ,0.0,8,0.109,-5.042,1,Freaky Friday (feat. Chris Brown),76,2018-03-15,0.224,133.123,4,https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ,audio_features,spotify:track:10Igtw8bSDyyFs7KIsKngZ,0.755
8623,8.74e-05,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,13,0.438,261000,0.94,True,4iG2gAwKXsOcijVaVXzRPW,0.0777,2,0.3,-3.249,1,Time to Pretend,71,2007-12-14,0.0452,100.99,3,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,audio_features,spotify:track:4iG2gAwKXsOcijVaVXzRPW,0.421
8626,0.0297,https://api.spotify.com/v1/audio-analysis/1oTHteQbmJw15rPxPVXUTv,8,0.897,208267,0.612,True,1oTHteQbmJw15rPxPVXUTv,0.186,11,0.0894,-10.489,1,Insane in the Brain,70,1993-07-20,0.211,102.305,4,https://api.spotify.com/v1/tracks/1oTHteQbmJw15rPxPVXUTv,audio_features,spotify:track:1oTHteQbmJw15rPxPVXUTv,0.767
8629,0.0104,https://api.spotify.com/v1/audio-analysis/7aliOjqVEBd3ZZ8NMkuifd,5,0.52,277637,0.791,False,7aliOjqVEBd3ZZ8NMkuifd,0.0,10,0.106,-4.247,1,Shake It Out,6,2011,0.0378,107.487,4,https://api.spotify.com/v1/tracks/7aliOjqVEBd3ZZ8NMkuifd,audio_features,spotify:track:7aliOjqVEBd3ZZ8NMkuifd,0.19
8630,0.285,https://api.spotify.com/v1/audio-analysis/6uAm7pG66O1XesXS9bpHSF,19,0.684,159011,0.905,True,6uAm7pG66O1XesXS9bpHSF,0.0,0,0.525,-3.187,0,Good As Hell,14,2016-03-11,0.0765,95.985,4,https://api.spotify.com/v1/tracks/6uAm7pG66O1XesXS9bpHSF,audio_features,spotify:track:6uAm7pG66O1XesXS9bpHSF,0.492
8641,0.13,https://api.spotify.com/v1/audio-analysis/0AH6WMe3OlAlUb5miXt2FQ,13,0.789,235493,0.716,False,0AH6WMe3OlAlUb5miXt2FQ,1.09e-05,11,0.069,-4.241,0,Only Girl (In The World),73,2010-11-16,0.0434,125.91,4,https://api.spotify.com/v1/tracks/0AH6WMe3OlAlUb5miXt2FQ,audio_features,spotify:track:0AH6WMe3OlAlUb5miXt2FQ,0.609
8644,0.288,https://api.spotify.com/v1/audio-analysis/5vmRQ3zELMLUQPo2FLQ76x,7,0.685,302413,0.584,False,5vmRQ3zELMLUQPo2FLQ76x,0.00918,5,0.124,-10.616,0,Smalltown Boy,71,1984-10-15,0.0276,134.546,4,https://api.spotify.com/v1/tracks/5vmRQ3zELMLUQPo2FLQ76x,audio_features,spotify:track:5vmRQ3zELMLUQPo2FLQ76x,0.939
8645,0.0135,https://api.spotify.com/v1/audio-analysis/1zzxoZVylsna2BQB65Ppcb,6,0.761,217587,0.899,True,1zzxoZVylsna2BQB65Ppcb,0.0,10,0.0719,-3.09,0,X Gon' Give It To Ya,76,2007-06-12,0.183,95.027,4,https://api.spotify.com/v1/tracks/1zzxoZVylsna2BQB65Ppcb,audio_features,spotify:track:1zzxoZVylsna2BQB65Ppcb,0.673
8664,0.046,https://api.spotify.com/v1/audio-analysis/7cGfrVoC7G03XeXn7yflx5,6,0.747,181827,0.904,False,7cGfrVoC7G03XeXn7yflx5,0.106,9,0.203,-2.623,1,Move Your Feet,6,2002-04-03,0.0803,118.877,4,https://api.spotify.com/v1/tracks/7cGfrVoC7G03XeXn7yflx5,audio_features,spotify:track:7cGfrVoC7G03XeXn7yflx5,0.846
8669,0.498,https://api.spotify.com/v1/audio-analysis/7tr2za8SQg2CI8EDgrdtNl,5,0.736,230813,0.795,True,7tr2za8SQg2CI8EDgrdtNl,1.21e-06,1,0.254,-3.299,0,Slide (feat. Frank Ocean & Migos),69,2017-06-30,0.0545,104.066,4,https://api.spotify.com/v1/tracks/7tr2za8SQg2CI8EDgrdtNl,audio_features,spotify:track:7tr2za8SQg2CI8EDgrdtNl,0.511
8670,0.204,https://api.spotify.com/v1/audio-analysis/439X8jGytErRiPnaoUJHju,9,0.835,218200,0.527,False,439X8jGytErRiPnaoUJHju,0.000423,7,0.283,-7.272,0,CHANCES,66,2018-11-30,0.128,106.003,4,https://api.spotify.com/v1/tracks/439X8jGytErRiPnaoUJHju,audio_features,spotify:track:439X8jGytErRiPnaoUJHju,0.611
8673,0.162,https://api.spotify.com/v1/audio-analysis/7p4vHnYXkxlzvfePJVpcTr,14,0.554,297404,0.596,False,7p4vHnYXkxlzvfePJVpcTr,0.00482,7,0.0805,-8.214,1,Feels Like Summer,72,2018-07-11,0.13,165.728,4,https://api.spotify.com/v1/tracks/7p4vHnYXkxlzvfePJVpcTr,audio_features,spotify:track:7p4vHnYXkxlzvfePJVpcTr,0.255
8674,0.0531,https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN,12,0.763,190557,0.628,False,2cYqizR4lgvp4Qu6IQ3qGN,0.0,11,0.114,-5.85,1,BUTTERFLY EFFECT,86,2018-08-03,0.05,140.958,4,https://api.spotify.com/v1/tracks/2cYqizR4lgvp4Qu6IQ3qGN,audio_features,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,0.193
